INFO 2024-07-02 18:56:08,008 autoreload Watching for file changes with StatReloader
DEBUG 2024-07-02 18:56:08,011 autoreload Waiting for apps ready_event.
DEBUG 2024-07-02 18:56:08,225 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-07-02 18:56:08,248 autoreload Watching dir /Users/imran/Project/Bitmorpher/templates with glob **/*.
DEBUG 2024-07-02 18:56:08,248 autoreload Watching dir /Users/imran/Project/venv/lib/python3.9/site-packages/drf_spectacular/templates with glob **/*.
DEBUG 2024-07-02 18:56:08,249 autoreload Watching dir /Users/imran/Project/venv/lib/python3.9/site-packages/rest_framework/templates with glob **/*.
DEBUG 2024-07-02 18:56:08,251 autoreload Watching dir /Users/imran/Project/Bitmorpher/locale with glob **/*.mo.
DEBUG 2024-07-02 18:56:08,251 autoreload Watching dir /Users/imran/Project/venv/lib/python3.9/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2024-07-02 18:56:08,252 autoreload Watching dir /Users/imran/Project/venv/lib/python3.9/site-packages/drf_spectacular/locale with glob **/*.mo.
DEBUG 2024-07-02 18:56:08,252 autoreload Watching dir /Users/imran/Project/Bitmorpher/user_panel/locale with glob **/*.mo.
DEBUG 2024-07-02 18:56:08,253 autoreload Watching dir /Users/imran/Project/Bitmorpher/log_space/locale with glob **/*.mo.
DEBUG 2024-07-02 18:56:08,316 utils (0.001) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-07-02 18:56:08,321 utils (0.001) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-07-02 18:56:08,384 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/yaml/parser.py first seen with mtime 1719930742.5846581
DEBUG 2024-07-02 18:56:08,385 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/django/contrib/admin/actions.py first seen with mtime 1719930737.1525838
DEBUG 2024-07-02 18:56:08,385 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/django/db/backends/base/client.py first seen with mtime 1719930740.0784652
DEBUG 2024-07-02 18:56:08,385 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/django/db/models/lookups.py first seen with mtime 1719930740.1464155
DEBUG 2024-07-02 18:56:08,385 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/django/middleware/common.py first seen with mtime 1719930740.2496042
DEBUG 2024-07-02 18:56:08,385 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/drf_spectacular/openapi.py first seen with mtime 1719930743.1204445
DEBUG 2024-07-02 18:56:08,385 autoreload File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/platform.py first seen with mtime 1620062241.0
DEBUG 2024-07-02 18:56:08,385 autoreload File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/secrets.py first seen with mtime 1620062241.0
DEBUG 2024-07-02 18:56:08,386 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/drf_spectacular/contrib/rest_framework.py first seen with mtime 1719930743.1275678
DEBUG 2024-07-02 18:56:08,386 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/django/db/models/base.py first seen with mtime 1719930740.1403966
DEBUG 2024-07-02 18:56:08,386 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/django/views/csrf.py first seen with mtime 1719930740.3243048
DEBUG 2024-07-02 18:56:08,386 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/django/core/serializers/base.py first seen with mtime 1719930740.0666983
DEBUG 2024-07-02 18:56:08,386 autoreload File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/__future__.py first seen with mtime 1620062241.0
DEBUG 2024-07-02 18:56:08,386 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/django/core/files/base.py first seen with mtime 1719930740.0219977
DEBUG 2024-07-02 18:56:08,386 autoreload File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/functools.py first seen with mtime 1620062241.0
DEBUG 2024-07-02 18:56:08,387 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/django/utils/log.py first seen with mtime 1719930740.30925
DEBUG 2024-07-02 18:56:08,387 autoreload File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/email/quoprimime.py first seen with mtime 1620062243.0
DEBUG 2024-07-02 18:56:08,387 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/django/apps/config.py first seen with mtime 1719930736.6359637
DEBUG 2024-07-02 18:56:08,387 autoreload File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/sysconfig.py first seen with mtime 1620062241.0
DEBUG 2024-07-02 18:56:08,387 autoreload File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/traceback.py first seen with mtime 1620062241.0
DEBUG 2024-07-02 18:56:08,387 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/django/urls/conf.py first seen with mtime 1719930740.2850485
DEBUG 2024-07-02 18:56:08,387 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/django/utils/text.py first seen with mtime 1719930740.3139296
